2018-10-09 09:01:11.344 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@57c03d88: startup date [Tue Oct 09 09:01:08 CST 2018]; root of context hierarchy
2018-10-09 09:01:11.425 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-10-09 09:01:11.425 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-10-09 09:01:11.457 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-10-09 09:01:11.457 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-10-09 09:01:12.360 [main] INFO  o.s.context.support.DefaultLifecycleProcessor - Starting beans in phase 2147483647
2018-10-09 09:01:12.373 [main] INFO  com.secondgroud.front.webmusic.BasicTest - Started BasicTest in 4.682 seconds (JVM running for 6.621)
2018-10-09 09:01:13.075 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2018-10-09 09:01:13.623 [Thread-3] INFO  o.s.w.context.support.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@57c03d88: startup date [Tue Oct 09 09:01:08 CST 2018]; root of context hierarchy
2018-10-09 09:01:13.623 [Thread-3] INFO  o.s.context.support.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
2018-10-09 09:01:13.623 [Thread-3] INFO  o.s.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2018-10-09 09:01:13.638 [Thread-3] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
